[美] 欧·亨利,上海社会科学院出版社,麦琪的礼物,2003-7,张经浩,8.6
[奥] 斯台芬·茨威格,上海译文出版社,一个陌生女人的来信,2007-7,张玉书,8.7
金庸,生活·读书·新知三联书店,神雕侠侣,1994-5,有1996年11月北平第4次印本,8.8
流潋紫,2007-2,后宫·甄嬛传Ⅰ,22.00元,花山文艺出版社,8.0
幾米,2009-5-1,星空,NT369,大塊文化,9.0
[德] 本哈德·施林克,译林出版社,朗读者,2009-2,钱定平,8.3
[英] J. K. 罗琳,人民文学出版社,哈利·波特与魔法石,2000-9,苏农,9.0
高铭,2010-2,天才在左 疯子在右,29.80元,武汉大学出版社,8.2
约翰·赫斯特（John Hirst）,广西师范大学出版社,你一定爱读的极简欧洲史,2011-11-25,席玉苹,8.3
幾米,2002-2,地下铁,32.00元,辽宁教育出版社,8.3
[日] 岛田庄司,新星出版社,占星术杀人魔法,2008-9,王鹏帆,8.3
[日] 村上春树,上海译文出版社,寻羊冒险记,2001-8,林少华,8.1
[美] 哈珀·李,译林出版社,杀死一只知更鸟,2012-9,高红梅,9.2
[日] 村上春树,上海译文出版社,国境以南 太阳以西,2001-8,林少华,8.3
李海鹏,2010-6,佛祖在一号线,25.00元,文化艺术出版社,8.2
桐华,2010-01,那些回不去的年少时光,23.80元,江苏文艺出版社,8.5
鲜橙,2017-8-1,阿麦从军：全新修订版,108.00元,作家出版社,8.9
杨绛,2003-7,我们仨,18.80元,生活·读书·新知三联书店,8.7
[英] 奥斯丁,人民文学出版社,傲慢与偏见,1993-7,张玲,8.8
刘瑜,2010-1,送你一颗子弹,25.00元,上海三联书店,8.6
[意大利]伊塔洛·卡尔维诺,译林出版社,看不见的城市,2006-8,张宓,8.8
林达,2002-5,带一本书去巴黎,35.00元,生活·读书·新知三联书店,8.5
王朔,2004-2,动物凶猛,15.5,中国电影出版社,8.3
八月长安,2013-8-5,最好的我们,55,湖南文艺出版社,8.8
吴承恩,人民文学出版社,西游记（全二册）,2004-8,黄肃秋 注释,8.8
[英]狄更斯,上海译文出版社,雾都孤儿,1991-7,荣如德,8.1
[美国] 玛格丽特·米切尔,译林出版社,飘,2000-9,李美华,9.3
当年明月,2006-9,明朝那些事儿（壹）,24.80,中国友谊出版公司,8.7
[德] 帕·聚斯金德,上海译文出版社,香水,2005-5,李清华,8.5
安东尼,2010-10,橙,28.80元,长江文艺出版社,8.2
[英] 乔治·奥威尔,上海译文出版社,一九八四·动物农场,2003-4,董乐山,9.3
夏达,2009-12,子不语1,RMB36.00,新世纪出版社,9.0
齐邦媛,2010-10,巨流河,39.00元,生活·读书·新知三联书店,8.7
严歌苓,2008-4,小姨多鹤,28.00元,作家出版社,8.6
曹禺,1999-05,雷雨,9.20,人民文学出版社,8.5
[美] 贾雷德·戴蒙德,上海世纪出版集团,枪炮、病菌与钢铁,2006-4-1,谢延光,8.8
王小波,2005-1,红拂夜奔,28.00元,江苏文艺出版社,8.6
[日] 安倍夜郎,湖南文艺出版社,深夜食堂 01,2013-1,陈颖,9.1
[印] 罗宾德拉纳德·泰戈尔,哈尔滨出版社,飞鸟集,2004-6,徐翰林,8.8
[美] 海莲·汉芙,译林出版社,查令十字街84号,2005-05-01,陈建铭,8.3
九夜茴,2008-1,匆匆那年（上下）,29.00,东方出版社,8.3
张爱玲,1997-3,第一炉香,11.5,花城出版社,8.4
章诒和,2004-1,往事并不如烟,35.00元,人民文学出版社,8.6
[日] 川端康成,广西师范大学出版社,伊豆的舞女,2002-2,叶渭渠,8.2
[美] 约翰·威廉斯,世纪文景/上海人民出版社,斯通纳,2016-1,杨向荣,8.8
严歌苓,2017-4-1,芳华,CNY 39.00,人民文学出版社,8.1
[美] 彼得·海斯勒,上海译文出版社,江城,2012-1,李雪顺,9.0
[美] 艾·弗洛姆,上海译文出版社,爱的艺术,2008-4,李健鸣,8.8
陈丹青,2005-1,退步集,38.00元,广西师范大学出版社,8.1
